Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.39864191211783E-16,0.05,-9.9731258776702E-16,0,0,0,9800,40024.8333333333,-9.53311503811468E-14,6.6317322004276E-12,200083.333333333,-6.93072748694454E-31,160074.833333333,0,0,0,0,0,0,package://library_world_assm/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://library_world_assm/meshes/base_link.STL,,floor-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1l,-2.44249065417534E-15,1.05,-1.33226762955019E-15,0,0,0,1896,904.700000000001,-4.93901900859111E-13,-1.24772403285476E-13,889.840000000001,2.74086309204335E-13,1570.7,0,0,0,0,0,0,package://library_world_assm/meshes/1l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://library_world_assm/meshes/1l.STL,,shelf-1,Origin_1j,,1j,fixed,-2.5,2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
2l,-2.22044604925031E-15,1.05,-1.33226762955019E-15,0,0,0,1896,904.700000000002,-5.56900181611036E-13,-1.84660696864623E-13,889.840000000002,2.8124204354274E-13,1570.7,0,0,0,0,0,0,package://library_world_assm/meshes/2l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://library_world_assm/meshes/2l.STL,,shelf-2,Origin_2j,,2j,fixed,-2.5,-2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
3l,-2.44249065417534E-15,1.05,-1.02401199123933E-15,0,0,0,1896,904.700000000001,-5.26945149047086E-13,-1.59727103945386E-13,889.840000000001,1.71842643196735E-13,1570.7,0,0,0,0,0,0,package://library_world_assm/meshes/3l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://library_world_assm/meshes/3l.STL,,shelf-3,Origin_3j,,3j,fixed,0,2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
4l,-2.22044604925031E-15,1.05,-1.44637141071257E-15,0,0,0,1896,904.700000000002,-5.76733959309103E-13,-2.49633589776144E-13,889.840000000002,1.90707760997983E-13,1570.7,0,0,0,0,0,0,package://library_world_assm/meshes/4l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://library_world_assm/meshes/4l.STL,,shelf-4,Origin_4j,,4j,fixed,0,-2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
5l,-2.44249065417534E-15,1.05,-8.88178419700125E-16,0,0,0,1896,904.700000000001,-5.01335084557298E-13,-1.24032728532341E-13,889.840000000001,2.75821032680312E-13,1570.7,0,0,0,0,0,0,package://library_world_assm/meshes/5l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://library_world_assm/meshes/5l.STL,,shelf-5,Origin_5j,,5j,fixed,2.5,2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
6l,-2.22044604925031E-15,1.05,-1.33226762955019E-15,0,0,0,1896,904.700000000001,-5.6046155849423E-13,-1.85622555554281E-13,889.840000000002,2.77772596590786E-13,1570.7,0,0,0,0,0,0,package://library_world_assm/meshes/6l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://library_world_assm/meshes/6l.STL,,shelf-6,Origin_6j,,6j,fixed,2.5,-2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
7l,-2.44249065417534E-15,1.05,-8.88178419700125E-16,0,0,0,1896,904.700000000001,-5.03565504110053E-13,-1.24639006502141E-13,889.84,2.66496893996937E-13,1570.7,0,0,0,0,0,0,package://library_world_assm/meshes/7l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://library_world_assm/meshes/7l.STL,,shelf-7,Origin_7j,,7j,fixed,5,2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
8l,-2.22044604925031E-15,1.05,0,0,0,0,1896,904.700000000001,-5.68699980202549E-13,-2.04137178507685E-13,889.840000000002,2.8492833092919E-13,1570.7,0,0,0,0,0,0,package://library_world_assm/meshes/8l.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://library_world_assm/meshes/8l.STL,,shelf-8,Origin_8j,,8j,fixed,5,-2,2.2,-1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
