5,7
0.0,0.0
0.009999999999999431,0.05
0.29500000000000026,-1.0650000000000006
0.3450000000000003,-1.0950000000000002
0.3700000000000003,-0.9650000000000005
0.24000000000000057,-2.5700000000000003
0.10999999999999943,-4.175
0.15999999999999942,-4.1850000000000005
-0.975,-4.38
-2.1099999999999994,-4.575
-3.245,-4.7700000000000005
-3.4,-4.35
-5.01,-4.345000000000001
-5.0200000000000005,-4.295
-5.305,-5.41
-5.59,-6.525
-5.9,-6.35
-5.9399999999999995,-6.39
-4.93,-5.845000000000001
-3.9200000000000004,-5.3
-2.505,-4.54
-2.4900000000000007,-4.485
-2.625,-4.49
-1.4900000000000007,-4.305
0.1,-4.045
0.11500000000000057,-4.09
0.22000000000000028,-2.9450000000000003
0.325,-1.8
0.4700000000000003,-0.2
0.4299999999999997,-0.15499999999999972
