Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.7009066351645E-19,-2.12546323197281E-17,-0.425995488565801,0,0,0,90.5491893240932,3.48663798151639,2.64610983927485E-18,1.08450976784336E-17,3.48670868252581,-3.38664600927794E-16,3.81582853495264,0,0,0,0,0,0,package://top assembly no gripper/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly no gripper/meshes/base_link.STL,,round cart base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_arm_1,0.0102112642270262,0.0397887357729738,0,0,0,0,0.616850275068085,0.000758328898628989,-0.000117533258784041,-2.25875452601147E-20,0.000758328898628989,2.25875452601147E-20,0.000745594953422872,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_arm_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_arm_1.STL,,link1-1,Origin_joint_arm_1,Axis_joint_arm_1,joint_arm_1,continuous,0,0,0.01,1.5707963267949,0,0,base_link,0,1,0,,,,,,,,,,,,
link_arm_2,-0.425,0.0479521392077196,-5.04698321809284E-18,0,0,0,6.00499439277567,0.00644980256719211,-8.68208770935658E-18,1.35666243727304E-18,0.439844327950975,1.08332962219202E-18,0.439921069814824,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_arm_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_arm_2.STL,,link2-1,Origin_joint_arm_2,Axis_joint_arm_2,joint_arm_2,revolute,0.04995,0.0500000000000008,0,0,0,-1.5707963267949,link_arm_1,0,1,0,0,0,-1.5708,1.5708,,,,,,,,
link_arm_3,-0.37499896693226,-0.0499499434508651,1.40926562802143E-08,0,0,0,5.36884463480403,0.00583223984122909,-0.00483062346048854,-1.96718551825591E-08,0.313371733808534,2.20564241042035E-08,0.313475132379175,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_arm_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_arm_3.STL,,link3-1,Origin_joint_arm_3,Axis_joint_arm_3,joint_arm_3,continuous,-0.85,0,0,-3.14159265358979,0,3.14159265358979,link_arm_2,0,1,0,,,,,,,,,,,,
link_arm_4,0.0557979256916667,0.0449730992840096,3.2724099398948E-17,0,0,0,1.25302278742002,0.00143510894590358,-0.000404675486049316,2.05699952076892E-19,0.00413540723242508,5.74154737412548E-20,0.00415532866573722,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_arm_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_arm_4.STL,,link4-1,Origin_joint_arm_4,Axis_joint_arm_4,joint_arm_4,continuous,-0.75,-0.09995,0,3.14159265358979,0,0,link_arm_3,0,1,0,,,,,,,,,,,,
link_arm_5,0.0102112642270262,-0.0397887357729738,-1.38777878078145E-17,0,0,0,0.616850275068085,0.000758328898628989,0.000117533258784041,2.25875452601147E-20,0.000758328898628989,4.43552749145502E-20,0.000745594953422872,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_arm_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_arm_5.STL,,link1-2,Origin_joint_arm_5,Axis_joint_arm_5,joint_arm_5,revolute,0.15,0.05,0,1.5707963267949,-1.5707963267949,0,link_arm_4,0,1,0,0,0,0,3.1416,,,,,,,,
link_slot1,7.97045601973234E-17,0.015936952714536,0.107644483362522,0,0,0,0.571,0.010628303477087,1.90590293802151E-18,3.19000827011139E-19,0.00329411724678925,-0.000203435201401051,0.00847389039696439,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_slot1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_slot1.STL,,book slot-1,Origin_joint_slot1,Axis_joint_slot1,joint_slot1,fixed,0,-0.0649519052838329,-0.1525,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
link_slot2,5.89805981832114E-17,0.0159369527145361,0.107644483362522,0,0,0,0.570999999999998,0.010628303477087,7.45388993583784E-19,-1.51788304147971E-18,0.00329411724678925,-0.000203435201401054,0.00847389039696438,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_slot2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_slot2.STL,,book slot-6,Origin_joint_slot2,Axis_joint_slot2,joint_slot2,fixed,-0.0562499999999996,-0.0324759526419171,-0.1525,1.5707963267949,0,-1.04719755119659,base_link,0,0,0,,,,,,,,,,,,
link_slot3,3.12250225675825E-17,0.0159369527145359,0.107644483362522,0,0,0,0.570999999999999,0.010628303477087,1.32814766129474E-18,1.95156391047391E-18,0.00329411724678926,-0.00020343520140105,0.00847389039696441,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_slot3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_slot3.STL,,book slot-5,Origin_joint_slot3,Axis_joint_slot3,joint_slot3,fixed,-0.0562500000000003,0.0324759526419159,-0.1525,1.5707963267949,0,-2.09439510239319,base_link,0,0,0,,,,,,,,,,,,
link_slot4,1.28570610630117E-15,0.015936952714536,0.107644483362522,0,0,0,0.570999999999999,0.010628303477087,1.19269924853294E-18,-1.52040641243351E-17,0.00329411724678926,-0.000203435201401053,0.0084738903969644,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_slot4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://top assembly no gripper/meshes/link_slot4.STL,,book slot-4,Origin_joint_slot4,Axis_joint_slot4,joint_slot4,fixed,0,0.0649519052838329,-0.1525,1.5707963267949,0,3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
